"ID","NOM","NOM_M","INSEE_COM","STATUT","POPULATION","INSEE_CAN","INSEE_ARR","INSEE_DEP","INSEE_REG","SIREN_EPCI"
"COMMUNE_0000000009750694","Ambronay","AMBRONAY","01007","Commune simple",2827,"01","1","01","84","240100883"
"COMMUNE_0000000009750957","Monthieux","MONTHIEUX","01261","Commune simple",681,"22","2","01","84","200069193"
"COMMUNE_0000000009751971","Brens","BRENS","01061","Commune simple",1133,"04","1","01","84","200040350"
"COMMUNE_0000002200276458","Valserhône","VALSERHONE","01033","Commune simple",16434,"03","4","01","84","240100891"
"COMMUNE_0000000009750481","Francheleins","FRANCHELEINS","01165","Commune simple",1586,"22","2","01","84","200070118"
"COMMUNE_0000000009749514","Ségny","SEGNY","01399","Commune simple",2145,"20","3","01","84","240100750"
"COMMUNE_0000000009748893","Curciat-Dongalon","CURCIAT-DONGALON","01139","Commune simple",444,"17","2","01","84","200071751"
"COMMUNE_0000000009749748","Meillonnas","MEILLONNAS","01241","Commune simple",1379,"18","2","01","84","200071751"
"COMMUNE_0000000009749344","Manziat","MANZIAT","01231","Commune simple",1948,"17","2","01","84","200071371"
"COMMUNE_0000000009750473","Saint-Georges-sur-Renon","SAINT-GEORGES-SUR-RENON","01356","Commune simple",203,"08","2","01","84","200069193"
"COMMUNE_0000000009749550","Malafretaz","MALAFRETAZ","01229","Commune simple",1226,"02","2","01","84","200071751"
"COMMUNE_0000000009750224","Tossiat","TOSSIAT","01422","Commune simple",1354,"07","2","01","84","200071751"
"COMMUNE_0000000009752241","Izieu","IZIEU","01193","Commune simple",220,"04","1","01","84","200040350"
"COMMUNE_0000000009750236","L'Abergement-Clémenciat","L'ABERGEMENT-CLEMENCIAT","01001","Commune simple",806,"08","2","01","84","200069193"
"COMMUNE_0000000009750709","Chaleins","CHALEINS","01075","Commune simple",1402,"22","2","01","84","200070118"
"COMMUNE_0000000009750227","Servas","SERVAS","01405","Commune simple",1273,"07","2","01","84","200071751"
"COMMUNE_0000000009751191","Souclin","SOUCLIN","01411","Commune simple",271,"11","1","01","84","240100883"
"COMMUNE_0000000009751457","Bénonces","BENONCES","01037","Commune simple",309,"11","1","01","84","240100883"
"COMMUNE_0000000009750195","Pougny","POUGNY","01308","Commune simple",803,"20","3","01","84","240100750"
"COMMUNE_0000000009749948","Confort","CONFORT","01114","Commune simple",693,"03","4","01","84","240100891"
"COMMUNE_0000000009751456","Sault-Brénaz","SAULT-BRENAZ","01396","Commune simple",987,"11","1","01","84","240100883"
"COMMUNE_0000000009749761","Pont-de-Veyle","PONT-DE-VEYLE","01306","Commune simple",1637,"23","2","01","84","200070555"
